Updated 2021-02-03 14:00:59.798145
Gloss,Algonquian,Analysis,English
go.1S.E.E/O,nutôm,nu+ô+m,I go
eat.1S.E.E/O,numits,nu+mitsu+m,I eat
sit.1S.E.E/O,nutap,nu+apu+m,I sit
go.1P.E.E/O,nutômun,nu+ô+m+nôn,We go
talk.1S.E.E/O,nukikutok,nu+kikutok+m,I talk
cook.1S.E.E/O,nutapos,nu+aposu+m,I cook
hunt.1S.E.E/O,nutacám,nu+acá+m,I hunt
read.1S.E.E/O,nutakitus,nu+akitusu+m,I read
eat.1P.E.E/O,numitsumun,nu+mitsu+m+nôn,We eat
sit.1P.E.E/O,nutapumun,nu+apu+m+nôn,We sit
go.2S.E.E/O,kutôm,ku+ô+m,You go
stand.1S.E.E/O,nunipaw,nu+nipawu+m,I stand
count.1S.E.E/O,nutakis,nu+akisu+m,I count
talk.1P.E.E/O,nukikutokumun,nu+kikutok+m+nôn,We talk
cook.1P.E.E/O,nutaposumun,nu+aposu+m+nôn,We cook
hunt.1P.E.E/O,nutacámun,nu+acá+m+nôn,We hunt
read.1P.E.E/O,nutakitusumun,nu+akitusu+m+nôn,We read
go.2P.E.E/O,kutômuw,ku+ô+m+wôw,Yall go
eat.2S.E.E/O,kumits,ku+mitsu+m,You eat
sit.2S.E.E/O,kutap,ku+apu+m,You sit
go.IAS.E.E/O,ôw,ô+w,A NA gos
exceed.1S.E.E/O,nutanirám,nu+anirá+m,I exceed
sneeze.1S.E.E/O,nutan,nu+anu+m,I sneeze
stand.1P.E.E/O,nunipawumun,nu+nipawu+m+nôn,We stand
count.1P.E.E/O,nutakisumun,nu+akisu+m+nôn,We count
eat.2P.E.E/O,kumitsumuw,ku+mitsu+m+wôw,Yall eat
sit.2P.E.E/O,kutapumuw,ku+apu+m+wôw,Yall sit
talk.2S.E.E/O,kukikutok,ku+kikutok+m,You talk
cook.2S.E.E/O,kutapos,ku+aposu+m,You cook
hunt.2S.E.E/O,kutacám,ku+acá+m,You hunt
read.2S.E.E/O,kutakitus,ku+akitusu+m,You read
sit.IAS.E.E/O,apuw,apu+w,A NA sits
eat.IAS.E.E/O,wumitsuw,wu+mitsu+w,A NA eats
eat.1S.2S.E/O,kumohush,ku+moh+ur+m,I eat you
see.1S.2S.E/O,kunáwush,ku+náw+ur+m,I see you
exceed.1P.E.E/O,nutanirámun,nu+anirá+m+nôn,We exceed
sneeze.1P.E.E/O,nutanumun,nu+anu+m+nôn,We sneeze
go.12P.E.E/O,kutômun,ku+ô+m+nôn,We-inc go
talk.2P.E.E/O,kukikutokumuw,ku+kikutok+m+wôw,Yall talk
cook.2P.E.E/O,kutaposumuw,ku+aposu+m+wôw,Yall cook
hunt.2P.E.E/O,kutacámuw,ku+acá+m+wôw,Yall hunt
read.2P.E.E/O,kutakitusumuw,ku+akitusu+m+wôw,Yall read
stand.2S.E.E/O,kunipaw,ku+nipawu+m,You stand
count.2S.E.E/O,kutakis,ku+akisu+m,You count
cook.IAS.E.E/O,aposuw,aposu+w,A NA cooks
hunt.IAS.E.E/O,acáw,acá+w,A NA hunts
read.IAS.E.E/O,akitusuw,akitusu+w,A NA reads
talk.IAS.E.E/O,wukikutokuw,wu+kikutok+w,A NA talks
cover.INS.E.E/O,apqôsuw,apqôsu+w,A NI cover
eat.1S.2P.E/O,kumohurumuw,ku+moh+ur+m+wôw,I eat yall
hold.1S.2S.E/O,kumihkunush,ku+mihkun+ur+m,I hold you
grab.1S.2S.E/O,kunumunush,ku+numun+ur+m,I grab you
see.1S.2P.E/O,kunáwurumuw,ku+náw+ur+m+wôw,I see yall
hear.1S.2S.E/O,kuputawush,ku+putaw+ur+m,I hear you
help.1S.2S.E/O,kutarunamawush,ku+arunamaw+ur+m,I help you
have.1S.2S.E/O,kuwacônush,ku+wacôn+ur+m,I have you
know.1S.2S.E/O,kuwáhush,ku+wáh+ur+m,I know you
like.1S.2S.E/O,kuwurárumush,ku+wurárum+ur+m,I like you
eat.1S.INS.E/O,numicm,nu+mic+m,I eat a NI
eat.1S.IAS.E/O,numohôm,nu+moh+ô+m,I eat a NA
see.1S.INS.E/O,nunám,nu+nám+m,I see a NI
see.1S.IAS.E/O,nunáwôm,nu+náw+ô+m,I see a NA
get.1S.INS.E/O,nutahtaw,nu+ahtaw+m,I get a NI
eat.1P.2S.E/O,kumohurumun,ku+moh+ur+m+nôn,We eat you
see.1P.2S.E/O,kunáwurumun,ku+náw+ur+m+nôn,We see you
eat.12P.E.E/O,kumitsumun,ku+mitsu+m+nôn,We-inc eat
sit.12P.E.E/O,kutapumun,ku+apu+m+nôn,We-inc sit
stand.2P.E.E/O,kunipawumuw,ku+nipawu+m+wôw,Yall stand
count.2P.E.E/O,kutakisumuw,ku+akisu+m+wôw,Yall count
eat.2S.1S.E/O,kumoh,ku+moh+u+m,You eat me
eat.2S.1P.E/O,kumohumun,ku+moh+u+m+nôn,You eat us
see.2S.1S.E/O,kunáw,ku+náw+u+m,You see me
see.2S.1P.E/O,kunáwumun,ku+náw+u+m+nôn,You see us
exceed.2S.E.E/O,kutanirám,ku+anirá+m,You exceed
sneeze.2S.E.E/O,kutan,ku+anu+m,You sneeze
count.IAS.E.E/O,akisuw,akisu+w,A NA counts
have.IAS.1S.E/O,nuwacônuq,nu+wacôn+uko+m,A NA has me
have.IAS.1P.E/O,nuwacônukomun,nu+wacôn+uko+m+nôn,A NA has us
stand.IAS.E.E/O,wunipawuw,wu+nipawu+w,A NA stands
go.1S.E.E/G,nutôw,nu+ô+w+m,I do not go
hold.1S.2P.E/O,kumihkunurumuw,ku+mihkun+ur+m+wôw,I hold yall
grab.1S.2P.E/O,kunumunurumuw,ku+numun+ur+m+wôw,I grab yall
hear.1S.2P.E/O,kuputawurumuw,ku+putaw+ur+m+wôw,I hear yall
help.1S.2P.E/O,kutarunamawurumuw,ku+arunamaw+ur+m+wôw,I help yall
have.1S.2P.E/O,kuwacônurumuw,ku+wacôn+ur+m+wôw,I have yall
know.1S.2P.E/O,kuwáhurumuw,ku+wáh+ur+m+wôw,I know yall
like.1S.2P.E/O,kuwurárumurumuw,ku+wurárum+ur+m+wôw,I like yall
hold.1S.IAS.E/O,numihkunôm,nu+mihkun+ô+m,I hold a NA
hold.1S.INS.E/O,numihkunum,nu+mihkunum+m,I hold a NI
grab.1S.INS.E/O,nunimunum,nu+nimunum+m,I grab a NI
grab.1S.IAS.E/O,nunumunôm,nu+numun+ô+m,I grab a NA
hear.1S.IAS.E/O,nuputawôm,nu+putaw+ô+m,I hear a NA
hear.1S.INS.E/O,nuputam,nu+putam+m,I hear a NI
help.1S.IAS.E/O,nutarunamawôm,nu+arunamaw+ô+m,I help a NA
have.1S.IAS.E/O,nuwacônôm,nu+wacôn+ô+m,I have a NA
have.1S.INS.E/O,nuwacônum,nu+wacônum+m,I have a NI
know.1S.IAS.E/O,nuwáhôm,nu+wáh+ô+m,I know a NA
know.1S.INS.E/O,nuwáhtom,nu+wáhto+m,I know a NI
like.1S.IAS.E/O,nuwurárumôm,nu+wurárum+ô+m,I like a NA
like.1S.INS.E/O,nuwurárutam,nu+wurárutam+m,I like a NI
go.IAP.E.E/O,ôw,ô+w,Some NAs go
go.DAS.E.E/O,ôw,ô+w,That NA gos
eat.1P.2P.E/O,kumohurumun,ku+moh+ur+m+nôn,We eat yall
hold.1P.2S.E/O,kumihkunurumun,ku+mihkun+ur+m+nôn,We hold you
grab.1P.2S.E/O,kunumunurumun,ku+numun+ur+m+nôn,We grab you
see.1P.2P.E/O,kunáwurumun,ku+náw+ur+m+nôn,We see yall
hear.1P.2S.E/O,kuputawurumun,ku+putaw+ur+m+nôn,We hear you
help.1P.2S.E/O,kutarunamawurumun,ku+arunamaw+ur+m+nôn,We help you
have.1P.2S.E/O,kuwacônurumun,ku+wacôn+ur+m+nôn,We have you
know.1P.2S.E/O,kuwáhurumun,ku+wáh+ur+m+nôn,We know you
like.1P.2S.E/O,kuwurárumurumun,ku+wurárum+ur+m+nôn,We like you
eat.1P.INS.E/O,numicmun,nu+mic+m+nôn,We eat a NI
eat.1P.IAS.E/O,numohômun,nu+moh+ô+m+nôn,We eat a NA
see.1P.INS.E/O,nunámumun,nu+nám+m+nôn,We see a NI
see.1P.IAS.E/O,nunáwômun,nu+náw+ô+m+nôn,We see a NA
get.1P.INS.E/O,nutahtawumun,nu+ahtaw+m+nôn,We get a NI
talk.12P.E.E/O,kukikutokumun,ku+kikutok+m+nôn,We-inc talk
cook.12P.E.E/O,kutaposumun,ku+aposu+m+nôn,We-inc cook
hunt.12P.E.E/O,kutacámun,ku+acá+m+nôn,We-inc hunt
read.12P.E.E/O,kutakitusumun,ku+akitusu+m+nôn,We-inc read
eat.2P.1S.E/O,kumohumuw,ku+moh+u+m+wôw,Yall eat me
eat.2P.1P.E/O,kumohumun,ku+moh+u+m+nôn,Yall eat us
see.2P.1S.E/O,kunáwumuw,ku+náw+u+m+wôw,Yall see me
see.2P.1P.E/O,kunáwumun,ku+náw+u+m+nôn,Yall see us
exceed.2P.E.E/O,kutanirámuw,ku+anirá+m+wôw,Yall exceed
sneeze.2P.E.E/O,kutanumuw,ku+anu+m+wôw,Yall sneeze
hold.2S.1S.E/O,kumihkun,ku+mihkun+u+m,You hold me
hold.2S.1P.E/O,kumihkunumun,ku+mihkun+u+m+nôn,You hold us
grab.2S.1S.E/O,kunumun,ku+numun+u+m,You grab me
grab.2S.1P.E/O,kunumunumun,ku+numun+u+m+nôn,You grab us
hear.2S.1S.E/O,kuputaw,ku+putaw+u+m,You hear me
hear.2S.1P.E/O,kuputawumun,ku+putaw+u+m+nôn,You hear us
help.2S.1S.E/O,kutarunamaw,ku+arunamaw+u+m,You help me
help.2S.1P.E/O,kutarunamawumun,ku+arunamaw+u+m+nôn,You help us
have.2S.1S.E/O,kuwacôn,ku+wacôn+u+m,You have me
have.2S.1P.E/O,kuwacônumun,ku+wacôn+u+m+nôn,You have us
know.2S.1S.E/O,kuwáh,ku+wáh+u+m,You know me
know.2S.1P.E/O,kuwáhumun,ku+wáh+u+m+nôn,You know us
like.2S.1S.E/O,kuwurárum,ku+wurárum+u+m,You like me
like.2S.1P.E/O,kuwurárumumun,ku+wurárum+u+m+nôn,You like us
exceed.IAS.E.E/O,aniráw,anirá+w,A NA exceeds
sneeze.IAS.E.E/O,anuw,anu+w,A NA sneezes
have.IAS.2S.E/O,kuwacônuq,ku+wacôn+uko+m,A NA has you
eat.IAS.1S.E/O,numohuq,nu+moh+uko+m,A NA eats me
eat.IAS.1P.E/O,numohukomun,nu+moh+uko+m+nôn,A NA eats us
see.IAS.1S.E/O,nunáwuq,nu+náw+uko+m,A NA sees me
see.IAS.1P.E/O,nunáwukomun,nu+náw+uko+m+nôn,A NA sees us
eat.1S.E.E/G,numitsuw,nu+mitsu+w+m,I do not eat
sit.1S.E.E/G,nutapuw,nu+apu+w+m,I do not sit
learn.1S.INS.E/O,nunuhtuhtaw,nu+nuhtuhtaw+m,I learn a NI
be_ashamed.1S.E.E/O,nutakac,nu+akacu+m,I am ashamed
be_dressed.1S.E.E/O,nutaq,nu+aqu+m,I am dressed
cover.1S.INS.E/O,nutapqám,nu+apqá+m,I cover a NI
paint.1S.INS.E/O,nutarakunum,nu+arakunum+m,I paint a NI
smell_good.1S.E.E/O,nuwuripuqus,nu+wuripuqus+m,I smell good
sit.IAP.E.E/O,apuw,apu+w,Some NAs sit
eat.IAP.E.E/O,wumitsuw,wu+mitsu+w,Some NAs eat
sit.DAS.E.E/O,apuw,apu+w,That NA sits
eat.DAS.E.E/O,wumitsuw,wu+mitsu+w,That NA eats
go.DAP.E.E/O,ôwak,ô+w+ak,Those NAs go
go.1P.E.E/G,nutôwumun,nu+ô+w+m+nôn,We do not go
hold.1P.2P.E/O,kumihkunurumun,ku+mihkun+ur+m+nôn,We hold yall
grab.1P.2P.E/O,kunumunurumun,ku+numun+ur+m+nôn,We grab yall
hear.1P.2P.E/O,kuputawurumun,ku+putaw+ur+m+nôn,We hear yall
help.1P.2P.E/O,kutarunamawurumun,ku+arunamaw+ur+m+nôn,We help yall
have.1P.2P.E/O,kuwacônurumun,ku+wacôn+ur+m+nôn,We have yall
know.1P.2P.E/O,kuwáhurumun,ku+wáh+ur+m+nôn,We know yall
like.1P.2P.E/O,kuwurárumurumun,ku+wurárum+ur+m+nôn,We like yall
hold.1P.IAS.E/O,numihkunômun,nu+mihkun+ô+m+nôn,We hold a NA
hold.1P.INS.E/O,numihkunumumun,nu+mihkunum+m+nôn,We hold a NI
grab.1P.INS.E/O,nunimunumumun,nu+nimunum+m+nôn,We grab a NI
grab.1P.IAS.E/O,nunumunômun,nu+numun+ô+m+nôn,We grab a NA
