alg_normalized,Gloss
kumirȏnánȏnah,give.12P.DAS.DAP
kumirurunánȏnak,give.1P.2P.DAP
kumisurunánȏnak,give.1P.2P.DAP
kumirurunánônash,give.1P.2P.DNP
kumirurunán,give.1P.2S.DAS
kumirurunánȏnak,give.1P.2S.DAP
kumirurumun,give.1P.2S.IAS
kumirurumun,give.1P.2S.IAP
kumirurunánônash,give.1P.2S.DNP
numirônánȏnah,give.1P.DAS.DAS
numirȏnánȏnak,give.1P.DAS.DAP
numirȏwun,give.1P.DAS.IAS
numirônánônash,give.1P.DAS.DNP
numirônánônash,give.1P.DAP.DNP
numirȏmun,give.1P.IAS.IAS
kumirurunáwȏwak,give.1S.2P.DAP
kumisurunáwȏwak,give.1S.2P.DAP
kumirurunáw,give.1S.2P.DNS
kumirurunak,give.1S.2S.DAP
kumirurun,give.1S.2S.DNS
numirȏnah,give.1S.DAS.DAS
numirȏn,give.1S.DAS.DNS
numirȏm,give.1S.IAS.IAS
kumisunánȏnak,give.2P.1P.DAP
kumisunánônash,give.2P.1P.DNP
kumisunáw,give.2P.1S.DAS
kumisunáwȏwak,give.2P.1S.DAP
kumisumuw,give.2P.1S.IAS
kumisumuw,give.2P.1S.IAP
kumirônáwȏwah,give.2P.DAS.DAS
kumirȏw,give.2P.DAS.IAS
kumirônáwôwash,give.2P.DAP.DNP
kumirȏmuw,give.2P.IAS.IAS
kumisunánȏnak,give.2S.1P.DAP
kumisunánônash,give.2S.1P.DNP
kumisunak,give.2S.1S.DAP
kumisun,give.2S.1S.DNS
kumirȏnah,give.2S.DAS.DAS
kumirȏnáwȏwak,give.2P.DAS.DAP
kumirȏn,give.2S.DAS.DNS
kumirônáwôwash,give.2P.DAS.DNP
kumirȏm,give.2S.IAS.IAS
kumirukonánȏnah,give.DAS.12P.DAP
numirukonánȏnah,give.DAS.1P.DAS
numirukowun,give.DAS.1P.IAS
numirukonah,give.DAS.1S.DAS
numirukon,give.DAS.1S.DNS
kumirukonáwȏwah,give.DAS.2P.DAS
kumirukowuw,give.DAS.2P.IAS
kumirukonáwôwash,give.DAS.2P.DNP
numirukonánônash,give.DAS.1P.DNP
kumirukonah,give.DAS.2S.DAS
kumirukon,give.DAS.2S.DNS
numirukonak,give.DAP.1S.DAP
kumirukonáwôwash,give.DAP.2P.DNP
numirukonánônash,give.DAP.1P.DNP
kumirukonak,give.DAP.2S.DAP
numirukomun,give.IAS.1P.IAS
numiruq,give.IAS.1S.IAS
kumirukomuw,give.IAS.2P.IAS
kumiruq,give.IAS.2S.IAS
